level,sub_dimension_id,sub_dimension_name,score,evidence_type,evidence_description,assessor_notes
L1_Event_Sensing,1.1,Event Coverage,,,,
L1_Event_Sensing,1.2,Observer/Subscription,,,,
L1_Event_Sensing,1.3,SRL Phase Observability,,,,
L1_Event_Sensing,1.4,Real-Time External Access,,,,
L1_Event_Sensing,1.5,Event Enrichment,,,,
L2_Student_State,2.1,Raw Data Availability,,,,
L2_Student_State,2.2,Analytics Framework,,,,
L2_Student_State,2.3,Unified Learner Model,,,,
L2_Student_State,2.4,API Query Capability,,,,
L2_Student_State,2.5,Temporal Analytics,,,,
L2_Student_State,2.6,Privacy-Aware Access,,,,
L3_Agent_Reasoning,3.1,AI Subsystem Infrastructure,,,,
L3_Agent_Reasoning,3.2,Agent Identity Model,,,,
L3_Agent_Reasoning,3.3,Reasoning Pipeline,,,,
L3_Agent_Reasoning,3.4,AI-Analytics Bridge,,,,
L3_Agent_Reasoning,3.5,Write-Back Capability,,,,
L3_Agent_Reasoning,3.6,SRL Detection Logic,,,,
L3_Agent_Reasoning,3.7,Contextual Adaptation,,,,
L4_Orchestration,4.1,Agent Registry,,,,
L4_Orchestration,4.2,Shared State Store,,,,
L4_Orchestration,4.3,Coordination Protocol,,,,
L4_Orchestration,4.4,Conflict Resolution,,,,
L4_Orchestration,4.5,Scalability Architecture,,,,
L5_Intervention_Delivery,5.1,Message Delivery,,,,
L5_Intervention_Delivery,5.2,UI Injection,,,,
L5_Intervention_Delivery,5.3,Content Generation,,,,
L5_Intervention_Delivery,5.4,Feedback Loop,,,,
L5_Intervention_Delivery,5.5,Timing Intelligence,,,,
