Event,Category,Trigger,Key Payload Fields,SRL Phase,Agent Use Case,STAIR Level
\core\event\course_viewed,Course,Student opens course page,"userid, courseid, other[coursesectionnumber]",Performance,Track engagement patterns; detect inactive students,L1-L2
\core\event\course_completed,Course,All completion criteria met,"relateduserid, courseid, objectid",Reflection,Celebrate achievement; recommend next course,L2-L3
\core\event\course_started,Course,Course start date reached,courseid,Forethought,Send welcome/orientation nudge,L2
\core\event\course_ended,Course,Course end date reached,courseid,Reflection,Prompt reflection activity,L2
\core\event\course_module_viewed,Course,Student views any activity,"userid, contextinstanceid, courseid",Performance,Track resource access sequence; time-on-task proxy,L1-L2
\core\event\course_module_completion_updated,Course,Activity marked complete,"relateduserid, contextinstanceid, other[completionstate]",Performance/Reflection,Track progress; identify stalled students,L2-L3
\core\event\course_completion_updated,Course,Completion criteria changed,courseid,Forethought,Notify students of criteria changes,L1
\core\event\course_section_viewed,Course,Student views section,"userid, courseid",Performance,Track navigation patterns,L1
\core\event\course_information_viewed,Course,Student views course info,"userid, courseid",Forethought,Detect pre-enrollment interest,L1
\core\event\course_resources_list_viewed,Course,Student views resource list,"userid, courseid",Forethought,Detect resource seeking behavior,L1-L2
\core\event\course_module_created,Course,Teacher adds activity,objectid,N/A,N/A,L0
\core\event\course_module_updated,Course,Teacher edits activity,objectid,N/A,N/A,L0
\core\event\course_module_deleted,Course,Teacher removes activity,objectid,N/A,N/A,L0
\core\event\course_created,Course,New course created,"objectid, courseid",N/A,N/A,L0
\core\event\course_updated,Course,Course settings changed,courseid,N/A,Detect structural changes,L1
\core\event\course_deleted,Course,Course deleted,courseid,N/A,N/A,L0
\core\event\course_user_report_viewed,Course,Student views own report,"userid, courseid, relateduserid",Reflection,Track self-monitoring behavior,L2
\core\event\course_backup_created,Course,Course backed up,courseid,N/A,N/A,L0
\core\event\course_restored,Course,Course restored from backup,courseid,N/A,N/A,L0
\mod_quiz\event\attempt_started,Quiz,Student begins quiz,"relateduserid, objectid, other[quizid]",Performance,Detect start time; track attempt frequency,L1-L2
